comparison_id	set_name	region_class	output_bed_path	output_annotation_tsv_path	region_peak_count	status	note
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.CDS.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.CDS.annotations.tsv	7279	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	exon	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.exon.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.exon.annotations.tsv	3060	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	five_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.five_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.five_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	gene	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.gene.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.gene.annotations.tsv	1682	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intergenic	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.intergenic.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.intergenic.annotations.tsv	59	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.intron.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.intron.annotations.tsv	95130	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	three_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.three_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.three_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/left_specific.utr.annotations.tsv	11059	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.CDS.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.CDS.annotations.tsv	20749	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	exon	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.exon.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.exon.annotations.tsv	1790	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	five_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.five_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.five_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	gene	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.gene.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.gene.annotations.tsv	329	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intergenic	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.intergenic.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.intergenic.annotations.tsv	42	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.intron.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.intron.annotations.tsv	37474	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	three_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.three_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.three_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/right_specific.utr.annotations.tsv	8790	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	CDS	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.CDS.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.CDS.annotations.tsv	2240	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	exon	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.exon.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.exon.annotations.tsv	1201	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	five_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.five_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.five_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	gene	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.gene.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.gene.annotations.tsv	262	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	intergenic	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.intergenic.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.intergenic.annotations.tsv	22	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	intron	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.intron.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.intron.annotations.tsv	33854	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	three_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.three_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.three_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_left	utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_left.utr.annotations.tsv	4650	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.CDS.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.CDS.annotations.tsv	2302	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	exon	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.exon.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.exon.annotations.tsv	1035	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	five_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.five_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.five_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	gene	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.gene.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.gene.annotations.tsv	241	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intergenic	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.intergenic.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.intergenic.annotations.tsv	22	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.intron.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.intron.annotations.tsv	30431	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	three_prime_utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.three_prime_utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.three_prime_utr.annotations.tsv	0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	utr	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.utr.annotation_ready.bed	processed/peaks/comparison_sets/by_region/sample_TARDBP_HepG2_ENCSR187VEQ_ENCFF626XAA_VS_TARDBP_K562_ENCSR584TCR_ENCFF606RXB/shared_right.utr.annotations.tsv	4299	ok	region_split_completed
