comparison_id	priority_rank	priority_level	comparison_scope	comparison_type	left_target_label	left_biosample_term_name	left_experiment_accession	left_selected_file_accession	right_target_label	right_biosample_term_name	right_experiment_accession	right_selected_file_accession	set_name	region_class	input_set_peak_count	region_peak_count	region_fraction_within_set	status	note
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	CDS	118269	7279	0.061546	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	exon	118269	3060	0.025873	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	five_prime_utr	118269	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	gene	118269	1682	0.014222	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	intergenic	118269	59	0.000499	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	intron	118269	95130	0.804353	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	three_prime_utr	118269	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	utr	118269	11059	0.093507	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	CDS	69174	20749	0.299954	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	exon	69174	1790	0.025877	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	five_prime_utr	69174	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	gene	69174	329	0.004756	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	intergenic	69174	42	0.000607	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	intron	69174	37474	0.541735	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	three_prime_utr	69174	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	utr	69174	8790	0.127071	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	CDS	42229	2240	0.053044	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	exon	42229	1201	0.02844	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	five_prime_utr	42229	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	gene	42229	262	0.006204	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	intergenic	42229	22	0.000521	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	intron	42229	33854	0.801677	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	three_prime_utr	42229	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_left	utr	42229	4650	0.110114	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	CDS	38330	2302	0.060057	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	exon	38330	1035	0.027002	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	five_prime_utr	38330	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	gene	38330	241	0.006288	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	intergenic	38330	22	0.000574	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	intron	38330	30431	0.793921	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	three_prime_utr	38330	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	shared_right	utr	38330	4299	0.112158	ok	region_split_completed
